,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226
172,524474015.0,2.0,4.0,1.0,1.0,2.0,1.0,2.0,0.0,3.0,0.0,42.0,8.0,2.0,1.0,7.0,0.0,21.0,6.0,2.0,3.0,3.0,10.0,27.0,0.0,15.0,0.0,1.0,3.0,3.0,5.0,5.0,21.0,4.0,14.0,2.0,11.0,2.0,70.0,10.0,35.0,33.0,0.0,28.0,12.0,32.0,81.0,4.0,2.0,0.0,10.0,3.0,2.0,38.0,0.0,0.0,3.0,31.0,8.0,1.0,16.0,9.0,5.0,1.0,2.0,42.0,2.0,5.0,0.0,9.0,33.0,9.0,4.0,9.0,4.0,3.0,0.0,8.0,4.0,1.0,0.0,2.0,20.0,2.0,99.0,11.0,5.0,6.0,0.0,11.0,7.0,43.0,1.0,5.0,5.0,11.0,21.0,8.0,39.0,5.0,0.0,8.0,5.0,6.0,1.0,9.0,6.0,10.0,11.0,1.0,1.0,0.0,5.0,21.0,63.0,1.0,0.0,20.0,1.0,0.0,6.0,0.0,6.0,12.0,28.0,41.0,10.0,2.0,26.0,1.0,1.0,9.0,3.0,3.0,29.0,40.0,11.0,18.0,1.0,20.0,8.0,0.0,7.0,5.0,14.0,10.0,0.0,18.0,62.0,101.0,6.0,2.0,11.0,6.0,83.0,35.0,3.0,4.0,0.0,38.0,12.0,3.0,45.0,6.0,0.0,6.0,1.0,1.0,42.0,2.0,92.0,1.0,0.0,13.0,5.0,12.0,23.0,0.0,1.0,4.0,5.0,5.0,4.0,8.0,25.0,3.0,7.0,9.0,9.0,12.0,4.0,5.0,1.0,7.0,6.0,6.0,7.0,3.0,7.0,10.0,24.0,5.0,36.0,2.0,0.0,16.0,0.0,0.0,21.0,6.0,3.0,0.0,2.0,1.0,8.0,2.0,6.0,3.0,11.0,3.0,0.0,9.0,8.0,32.0,19.0,12.0,7.0
173,534478153.0,3.0,9.0,1.0,1.0,1.0,0.0,3.0,1.0,2.0,0.0,24.0,3.0,1.0,0.0,0.0,3.0,12.0,0.0,2.0,3.0,2.0,4.0,24.0,2.0,8.0,0.0,1.0,7.0,3.0,1.0,8.0,17.0,2.0,13.0,0.0,15.0,1.0,6.0,6.0,8.0,22.0,0.0,0.0,1.0,21.0,4.0,6.0,4.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,23.0,7.0,1.0,16.0,1.0,5.0,0.0,1.0,25.0,5.0,2.0,0.0,2.0,30.0,1.0,4.0,9.0,0.0,3.0,0.0,7.0,6.0,2.0,0.0,6.0,10.0,5.0,27.0,5.0,2.0,3.0,0.0,6.0,1.0,4.0,1.0,2.0,2.0,14.0,7.0,2.0,9.0,1.0,0.0,4.0,2.0,11.0,0.0,3.0,14.0,7.0,1.0,1.0,1.0,0.0,5.0,17.0,27.0,1.0,1.0,3.0,1.0,0.0,4.0,0.0,6.0,3.0,17.0,3.0,3.0,0.0,16.0,1.0,1.0,2.0,1.0,1.0,4.0,3.0,3.0,7.0,0.0,7.0,10.0,0.0,1.0,2.0,2.0,10.0,0.0,0.0,25.0,3.0,9.0,2.0,3.0,9.0,6.0,12.0,2.0,1.0,0.0,8.0,2.0,1.0,23.0,10.0,0.0,4.0,0.0,1.0,21.0,1.0,14.0,0.0,13.0,0.0,3.0,16.0,5.0,0.0,0.0,11.0,2.0,2.0,4.0,6.0,20.0,4.0,7.0,6.0,4.0,2.0,1.0,5.0,1.0,2.0,2.0,2.0,5.0,0.0,3.0,5.0,7.0,1.0,24.0,1.0,0.0,20.0,0.0,0.0,8.0,8.0,3.0,0.0,2.0,0.0,9.0,1.0,1.0,1.0,3.0,6.0,2.0,9.0,8.0,4.0,10.0,11.0,9.0
174,535941420.0,2.0,6.0,1.0,0.0,0.0,1.0,2.0,0.0,106.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,8.0,1.0,0.0,1.0,8.0,1.0,1.0,3.0,8.0,0.0,1.0,0.0,0.0,8.0,2.0,2.0,0.0,1.0,1.0,10.0,0.0,3.0,1.0,3.0,2.0,7.0,0.0,0.0,2.0,3.0,57.0,0.0,0.0,7.0,0.0,1.0,0.0,6.0,0.0,0.0,15.0,1.0,0.0,45.0,5.0,3.0,2.0,0.0,2.0,55.0,0.0,0.0,6.0,5.0,3.0,3.0,2.0,1.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,2.0,76.0,6.0,2.0,100.0,59.0,0.0,7.0,2.0,3.0,1.0,0.0,2.0,18.0,0.0,56.0,1.0,6.0,0.0,3.0,3.0,16.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,4.0,57.0,6.0,34.0,15.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,3.0,14.0,45.0,6.0,1.0,12.0,5.0,1.0,3.0,0.0,0.0,7.0,14.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,3.0,1.0,9.0,1.0,1.0,0.0,2.0,16.0,0.0,1.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,4.0,1.0,1.0,5.0,25.0,1.0,0.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,9.0,54.0,3.0,6.0,2.0,1.0,2.0,56.0,1.0,0.0,7.0,1.0,1.0,0.0,2.0,10.0,1.0,3.0,1.0,6.0,30.0,3.0,1.0,0.0,10.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,13.0,1.0,1.0,0.0,39.0,6.0,5.0,0.0,0.0,0.0,0.0,141.0,1.0,0.0
175,541464166.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,3.0,0.0,2.0,1.0,2.0,7.0,2.0,2.0,5.0,0.0,7.0,15.0,0.0,5.0,0.0,0.0,3.0,4.0,0.0,5.0,14.0,2.0,19.0,2.0,7.0,2.0,6.0,4.0,18.0,25.0,0.0,0.0,2.0,21.0,2.0,3.0,1.0,0.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,17.0,5.0,0.0,10.0,0.0,4.0,0.0,2.0,23.0,3.0,1.0,0.0,2.0,28.0,2.0,4.0,6.0,3.0,3.0,0.0,7.0,4.0,1.0,0.0,3.0,8.0,0.0,22.0,2.0,2.0,2.0,0.0,3.0,0.0,3.0,0.0,1.0,2.0,2.0,13.0,1.0,8.0,0.0,0.0,4.0,1.0,9.0,0.0,2.0,19.0,6.0,0.0,2.0,3.0,0.0,5.0,9.0,11.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,4.0,10.0,3.0,1.0,0.0,12.0,0.0,0.0,3.0,0.0,2.0,2.0,4.0,6.0,11.0,1.0,8.0,13.0,0.0,1.0,0.0,3.0,17.0,0.0,1.0,22.0,6.0,6.0,1.0,3.0,13.0,7.0,11.0,2.0,2.0,0.0,16.0,1.0,0.0,30.0,15.0,0.0,7.0,0.0,0.0,25.0,0.0,18.0,0.0,12.0,16.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,1.0,4.0,10.0,1.0,7.0,3.0,2.0,2.0,1.0,2.0,4.0,1.0,2.0,0.0,2.0,0.0,2.0,3.0,5.0,4.0,21.0,1.0,0.0,9.0,0.0,0.0,7.0,4.0,1.0,12.0,0.0,1.0,11.0,0.0,2.0,0.0,6.0,5.0,0.0,10.0,7.0,5.0,13.0,18.0,15.0
176,542721382.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,5.0,0.0,4.0,6.0,0.0,1.0,0.0,1.0,3.0,3.0,1.0,2.0,7.0,2.0,6.0,0.0,1.0,3.0,8.0,2.0,7.0,9.0,0.0,1.0,1.0,8.0,10.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,7.0,4.0,0.0,5.0,1.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,9.0,3.0,2.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0,45.0,5.0,0.0,1.0,0.0,1.0,1.0,11.0,1.0,4.0,3.0,0.0,5.0,0.0,17.0,2.0,0.0,2.0,0.0,4.0,2.0,1.0,6.0,6.0,4.0,0.0,0.0,0.0,1.0,2.0,15.0,0.0,0.0,4.0,1.0,0.0,11.0,0.0,4.0,1.0,11.0,11.0,1.0,0.0,4.0,2.0,0.0,1.0,1.0,1.0,21.0,8.0,1.0,3.0,1.0,15.0,5.0,0.0,13.0,1.0,4.0,6.0,0.0,6.0,25.0,27.0,0.0,1.0,5.0,3.0,3.0,5.0,0.0,0.0,0.0,18.0,1.0,1.0,16.0,6.0,0.0,2.0,1.0,0.0,15.0,0.0,70.0,1.0,23.0,5.0,1.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,10.0,1.0,6.0,1.0,2.0,1.0,3.0,0.0,0.0,6.0,4.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,18.0,1.0,0.0,8.0,1.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,3.0,0.0,0.0,4.0,7.0,24.0,1.0,4.0,4.0
177,55222123.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
178,556261139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
179,558717647.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,1.0,6.0,4.0,0.0,13.0,0.0,0.0,12.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,4.0,0.0,3.0,0.0,3.0,3.0,4.0,3.0,0.0,5.0,1.0,9.0,1.0,1.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,10.0,10.0,0.0,6.0,0.0,0.0,0.0,1.0,7.0,2.0,4.0,0.0,1.0,13.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,10.0,4.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,3.0,0.0,4.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,4.0,11.0,9.0,1.0,0.0,4.0,0.0,0.0,7.0,0.0,0.0,2.0,4.0,4.0,1.0,0.0,12.0,0.0,0.0,2.0,0.0,0.0,4.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,11.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,3.0,1.0,0.0,3.0,1.0,0.0,5.0,0.0,6.0,0.0,4.0,11.0,0.0,2.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,3.0,5.0,1.0,1.0,5.0,0.0,4.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,7.0,0.0,1.0,1.0,5.0,6.0,8.0,0.0
180,56054692.0,37.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,8.0,0.0,16.0,2.0,2.0,0.0,1.0,2.0,14.0,5.0,0.0,3.0,4.0,5.0,9.0,4.0,15.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,2.0,22.0,0.0,2.0,2.0,4.0,14.0,22.0,29.0,4.0,1.0,12.0,22.0,2.0,13.0,1.0,0.0,10.0,2.0,2.0,0.0,0.0,0.0,5.0,84.0,5.0,1.0,40.0,3.0,2.0,0.0,0.0,7.0,6.0,21.0,0.0,4.0,22.0,5.0,3.0,3.0,2.0,0.0,0.0,4.0,1.0,0.0,0.0,2.0,20.0,10.0,29.0,7.0,7.0,6.0,0.0,4.0,14.0,2.0,1.0,1.0,3.0,10.0,4.0,10.0,2.0,2.0,1.0,11.0,3.0,7.0,6.0,3.0,1.0,6.0,0.0,1.0,1.0,0.0,1.0,32.0,1.0,7.0,4.0,7.0,1.0,0.0,0.0,0.0,3.0,3.0,14.0,3.0,27.0,3.0,11.0,1.0,0.0,7.0,1.0,1.0,0.0,0.0,6.0,13.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,2.0,0.0,1.0,7.0,3.0,2.0,2.0,6.0,8.0,8.0,27.0,0.0,7.0,0.0,15.0,0.0,4.0,6.0,1.0,0.0,11.0,0.0,0.0,8.0,0.0,7.0,0.0,5.0,2.0,11.0,1.0,1.0,0.0,0.0,2.0,0.0,12.0,17.0,6.0,4.0,3.0,1.0,1.0,7.0,2.0,0.0,6.0,3.0,1.0,2.0,7.0,8.0,9.0,21.0,5.0,7.0,10.0,3.0,5.0,0.0,6.0,0.0,4.0,5.0,1.0,3.0,0.0,3.0,4.0,1.0,2.0,0.0,8.0,15.0,3.0,0.0,1.0,0.0,0.0,39.0,11.0,10.0
181,576761790.0,0.0,6.0,1.0,1.0,1.0,2.0,0.0,0.0,11.0,0.0,7.0,2.0,0.0,0.0,1.0,0.0,10.0,1.0,0.0,0.0,7.0,0.0,4.0,1.0,7.0,0.0,0.0,0.0,0.0,13.0,1.0,2.0,0.0,2.0,0.0,5.0,1.0,4.0,2.0,7.0,12.0,0.0,0.0,2.0,3.0,2.0,6.0,1.0,0.0,4.0,0.0,1.0,0.0,2.0,0.0,2.0,9.0,0.0,1.0,23.0,4.0,8.0,0.0,0.0,3.0,11.0,4.0,0.0,4.0,16.0,2.0,2.0,3.0,1.0,0.0,0.0,4.0,3.0,1.0,0.0,1.0,10.0,13.0,10.0,1.0,12.0,7.0,1.0,4.0,3.0,3.0,0.0,0.0,2.0,6.0,5.0,7.0,0.0,2.0,0.0,8.0,5.0,5.0,4.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,6.0,19.0,3.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,11.0,3.0,13.0,11.0,6.0,2.0,0.0,7.0,0.0,2.0,1.0,1.0,4.0,16.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,4.0,1.0,5.0,0.0,1.0,0.0,2.0,18.0,0.0,3.0,0.0,8.0,4.0,1.0,5.0,1.0,0.0,4.0,0.0,1.0,7.0,2.0,9.0,0.0,5.0,2.0,9.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,11.0,11.0,6.0,3.0,0.0,1.0,12.0,0.0,0.0,5.0,1.0,0.0,0.0,2.0,12.0,2.0,5.0,1.0,8.0,4.0,2.0,0.0,0.0,8.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,11.0,6.0,1.0,0.0,2.0,0.0,0.0,25.0,1.0,2.0
182,57682156.0,3.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,68.0,1.0,6.0,2.0,1.0,1.0,1.0,0.0,10.0,1.0,0.0,1.0,8.0,2.0,4.0,1.0,5.0,0.0,1.0,0.0,0.0,3.0,2.0,4.0,0.0,1.0,2.0,3.0,0.0,2.0,2.0,6.0,11.0,5.0,0.0,2.0,8.0,1.0,57.0,0.0,0.0,6.0,0.0,1.0,0.0,14.0,0.0,3.0,20.0,2.0,1.0,16.0,2.0,2.0,2.0,0.0,4.0,33.0,4.0,0.0,2.0,8.0,0.0,3.0,3.0,1.0,0.0,0.0,4.0,1.0,4.0,0.0,0.0,9.0,55.0,13.0,3.0,49.0,53.0,0.0,6.0,6.0,3.0,1.0,0.0,2.0,11.0,4.0,40.0,1.0,1.0,0.0,3.0,3.0,7.0,3.0,3.0,1.0,3.0,2.0,0.0,0.0,0.0,2.0,38.0,5.0,20.0,11.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,5.0,4.0,12.0,17.0,8.0,1.0,5.0,1.0,1.0,1.0,1.0,0.0,5.0,8.0,0.0,1.0,3.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,5.0,2.0,3.0,1.0,4.0,0.0,2.0,11.0,0.0,1.0,0.0,5.0,2.0,0.0,6.0,1.0,0.0,1.0,2.0,0.0,5.0,9.0,4.0,0.0,4.0,4.0,54.0,1.0,1.0,0.0,0.0,1.0,17.0,11.0,0.0,2.0,4.0,2.0,1.0,3.0,37.0,0.0,0.0,3.0,3.0,1.0,0.0,5.0,1.0,2.0,7.0,2.0,7.0,16.0,3.0,2.0,1.0,8.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,9.0,1.0,2.0,0.0,22.0,3.0,4.0,1.0,1.0,0.0,0.0,98.0,1.0,3.0
183,579448207.0,1.0,3.0,2.0,0.0,1.0,3.0,2.0,0.0,1.0,0.0,16.0,2.0,1.0,0.0,2.0,0.0,8.0,0.0,0.0,1.0,2.0,3.0,9.0,0.0,11.0,0.0,1.0,0.0,0.0,3.0,2.0,4.0,0.0,0.0,0.0,7.0,0.0,6.0,5.0,13.0,18.0,0.0,1.0,4.0,12.0,1.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,11.0,1.0,1.0,0.0,2.0,13.0,2.0,2.0,0.0,2.0,15.0,1.0,2.0,2.0,1.0,1.0,0.0,4.0,7.0,0.0,0.0,0.0,10.0,0.0,12.0,2.0,3.0,2.0,0.0,3.0,7.0,3.0,1.0,0.0,2.0,4.0,4.0,3.0,1.0,2.0,0.0,6.0,4.0,3.0,0.0,4.0,8.0,1.0,0.0,1.0,0.0,0.0,3.0,12.0,5.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,6.0,8.0,1.0,4.0,1.0,14.0,1.0,1.0,3.0,4.0,3.0,0.0,4.0,5.0,12.0,0.0,1.0,3.0,0.0,1.0,2.0,1.0,4.0,2.0,0.0,14.0,1.0,1.0,1.0,2.0,0.0,6.0,16.0,1.0,1.0,0.0,12.0,1.0,0.0,15.0,4.0,0.0,19.0,1.0,0.0,10.0,1.0,9.0,0.0,8.0,6.0,3.0,4.0,1.0,0.0,0.0,2.0,6.0,11.0,2.0,0.0,5.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,2.0,6.0,0.0,1.0,9.0,9.0,2.0,12.0,2.0,0.0,4.0,0.0,0.0,7.0,2.0,1.0,0.0,1.0,1.0,7.0,1.0,4.0,0.0,4.0,1.0,0.0,3.0,0.0,0.0,12.0,0.0,4.0
184,57972437.0,2.0,32.0,1.0,3.0,0.0,5.0,2.0,0.0,4.0,0.0,23.0,4.0,1.0,0.0,3.0,2.0,8.0,3.0,1.0,3.0,3.0,16.0,13.0,2.0,11.0,0.0,4.0,1.0,4.0,5.0,4.0,14.0,5.0,22.0,0.0,7.0,1.0,12.0,8.0,18.0,25.0,1.0,0.0,4.0,23.0,9.0,8.0,0.0,0.0,2.0,2.0,0.0,4.0,0.0,0.0,1.0,26.0,5.0,1.0,25.0,3.0,15.0,1.0,2.0,45.0,4.0,1.0,0.0,5.0,24.0,5.0,10.0,9.0,2.0,2.0,0.0,13.0,17.0,0.0,0.0,2.0,15.0,7.0,51.0,3.0,6.0,4.0,1.0,14.0,5.0,25.0,1.0,3.0,3.0,7.0,14.0,4.0,9.0,1.0,0.0,5.0,2.0,24.0,4.0,3.0,66.0,21.0,1.0,3.0,5.0,0.0,4.0,14.0,23.0,3.0,1.0,4.0,1.0,0.0,6.0,0.0,2.0,5.0,23.0,5.0,9.0,5.0,19.0,1.0,1.0,7.0,3.0,2.0,10.0,7.0,9.0,18.0,3.0,12.0,14.0,0.0,3.0,3.0,2.0,16.0,3.0,5.0,50.0,23.0,19.0,1.0,3.0,4.0,16.0,24.0,2.0,4.0,0.0,21.0,18.0,0.0,46.0,7.0,0.0,9.0,0.0,1.0,32.0,1.0,29.0,0.0,25.0,20.0,6.0,10.0,10.0,0.0,0.0,1.0,4.0,6.0,4.0,5.0,0.0,1.0,6.0,5.0,5.0,5.0,1.0,2.0,1.0,3.0,4.0,4.0,11.0,1.0,1.0,5.0,11.0,5.0,21.0,2.0,0.0,16.0,0.0,0.0,10.0,4.0,1.0,0.0,0.0,1.0,7.0,2.0,2.0,3.0,4.0,3.0,0.0,4.0,5.0,10.0,15.0,8.0,8.0
185,58761868.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,1.0,1.0,1.0,3.0,1.0,5.0,0.0,1.0,1.0,0.0,1.0,6.0,0.0,8.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,0.0,3.0,0.0,2.0,3.0,5.0,14.0,0.0,0.0,0.0,11.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,11.0,5.0,3.0,3.0,2.0,1.0,0.0,0.0,5.0,1.0,3.0,0.0,1.0,8.0,0.0,2.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,9.0,4.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,7.0,5.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,3.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,1.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,4.0,2.0,1.0,1.0,1.0,0.0,3.0,3.0,3.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,6.0,2.0,1.0,1.0,1.0,1.0,2.0,6.0,0.0,7.0,3.0,0.0,3.0,0.0,0.0,4.0,1.0,2.0,0.0,6.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0
